Genome	Completeness	Contamination	Strain heterogeneity	GUNC pass	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	# predicted genes	5S rRNA	23S rRNA	16S rRNA	# tRNA	# tRNA types
SVH11_Q11_R.bin.25	97.85	3.16	42.86	True	2565493	0	102	102	41319	41319	25151	25151	146711	146711	36.5	1.82	88.66	2504	Yes	No	Yes	60	23
SVH11_Q11_R.bin.26	20.14	0.0	0.0	True	516256	0	134	134	4105	4105	3852	3852	14700	14700	38.6	1.79	89.78	639	No	No	No	14	5
SVH11_Q11_R.bin.27	0.0	0.0	0.0	True	235703	0	57	57	6092	6092	4135	4135	16233	16233	32.4	2.44	87.95	235	No	No	No	2	2
SVH11_Q11_R.bin.28	61.95	10.51	11.76	True	791267	0	63	63	45945	45945	12559	12559	116662	116662	39.4	1.17	92.1	826	No	No	No	9	7
SVH11_Q11_R.bin.29	22.73	1.72	0.0	True	434610	0	40	40	14535	14535	10865	10865	65080	65080	42.7	1.07	90.53	438	Yes	No	No	13	7
SVH11_Q11_R.bin.3	18.97	3.45	0.0	True	439164	0	85	85	5836	5836	5166	5166	19415	19415	43.7	1.63	90.37	496	No	No	No	10	5
SVH11_Q11_R.bin.30	0.0	0.0	0.0	True	997807	0	249	249	4902	4902	4007	4007	14325	14325	31.5	2.2	78.24	1226	No	No	No	8	6
SVH11_Q11_R.bin.31	71.23	70.28	33.17	False	2973727	0	799	799	4031	4031	3721	3721	71561	71561	36.7	2.51	88.24	3484	Yes	No	No	45	19
SVH11_Q11_R.bin.32	89.31	74.92	13.89	False	7089858	0	2240	2240	3398	3398	3165	3165	37356	37356	31.0	2.82	82.55	9043	Yes	No	Yes	88	20
SVH11_Q11_R.bin.33	56.03	6.9	20.0	True	1091603	0	146	146	14957	14957	7476	7476	59300	59300	34.1	1.73	88.74	1192	No	No	No	13	8
SVH11_Q11_R.bin.34	41.67	33.33	71.05	True	296796	0	9	9	54724	54724	32977	32977	131060	131060	35.2	0.85	90.52	292	Yes	No	No	31	12
SVH11_Q11_R.bin.35	0.0	0.0	0.0	True	244918	0	55	55	5359	5359	4453	4453	19540	19540	24.7	2.46	80.48	337	No	No	No	12	7
SVH11_Q11_R.bin.36	53.62	0.0	0.0	False	954791	0	116	116	14002	14002	8230	8230	51573	51573	37.8	1.79	90.36	985	No	No	No	10	6
SVH11_Q11_R.bin.37	0.0	0.0	0.0	True	332379	0	64	64	5781	5781	5193	5193	14551	14551	52.7	1.18	92.23	333	No	No	No	2	2
SVH11_Q11_R.bin.38	45.52	0.0	0.0	True	662127	0	211	211	3427	3427	3138	3138	17475	17475	36.3	1.69	88.43	850	No	No	No	7	6
SVH11_Q11_R.bin.39	0.0	0.0	0.0	True	326766	0	41	41	11066	11066	7969	7969	36479	36479	33.2	1.68	86.06	496	No	No	No	15	8
SVH11_Q11_R.bin.4	0.0	0.0	0.0	True	215610	0	5	5	68945	68945	43122	43122	73322	73322	52.4	0.91	84.47	143	No	No	No	0	0
SVH11_Q11_R.bin.40	79.81	47.41	48.39	True	3360451	0	793	793	5166	5166	4237	4237	32005	32005	36.0	1.87	89.32	3679	Yes	No	No	54	18
SVH11_Q11_R.bin.41	80.77	1.48	100.0	True	986265	0	113	113	11890	11890	8728	8728	59630	59630	47.7	1.38	92.28	1067	Yes	No	Yes	15	12
SVH11_Q11_R.bin.42	0.0	0.0	0.0	True	657951	0	63	63	14786	14786	10443	10443	54947	54947	34.9	2.22	88.2	799	No	No	No	12	11
SVH11_Q11_R.bin.43	0.0	0.0	0.0	True	249095	0	62	62	4558	4558	4017	4017	21224	21224	36.1	1.36	84.47	317	No	No	No	0	0
SVH11_Q11_R.bin.44	8.62	0.0	0.0	False	875927	0	171	171	6250	6250	5122	5122	32692	32692	36.3	2.01	86.5	1062	Yes	No	No	7	6
SVH11_Q11_R.bin.45	13.79	0.0	0.0	True	227606	0	52	52	4670	4670	4377	4377	24334	24334	37.8	1.89	89.56	257	Yes	No	No	2	1
SVH11_Q11_R.bin.46	38.68	0.0	0.0	True	546757	0	65	65	11392	11392	8411	8411	27134	27134	44.8	1.36	88.69	573	No	No	No	16	8
SVH11_Q11_R.bin.47	87.98	1.72	37.5	True	1849427	0	243	243	11875	11875	7610	7610	44858	44858	62.4	2.3	90.49	1837	No	No	No	41	21
SVH11_Q11_R.bin.48	0.0	0.0	0.0	False	218531	0	9	9	55933	55933	24281	24281	61028	61028	49.7	1.46	77.87	177	No	No	No	0	0
SVH11_Q11_R.bin.49	0.31	0.16	0.0	True	251207	0	14	14	47323	47323	17943	17943	60193	60193	40.4	0.86	93.72	270	No	No	No	0	0
SVH11_Q11_R.bin.5	0.0	0.0	0.0	True	259761	0	14	14	30925	30925	18554	18554	48800	48800	42.4	1.78	87.11	316	No	No	No	4	4
SVH11_Q11_R.bin.50	0.0	0.0	0.0	True	218747	0	8	8	29628	29628	27343	27343	105775	105775	42.5	1.78	78.9	219	No	No	No	0	0
SVH11_Q11_R.bin.51	5.17	0.0	0.0	True	2087744	0	494	494	4993	4993	4226	4226	27929	27929	31.0	2.5	78.29	2745	Yes	No	No	16	9
SVH11_Q11_R.bin.52	0.0	0.0	0.0	True	372168	0	66	66	7727	7727	5638	5638	25001	25001	32.4	1.89	85.68	541	No	No	No	16	9
SVH11_Q11_R.bin.53	0.0	0.0	0.0	True	436053	0	88	88	5739	5739	4955	4955	16487	16487	41.3	1.42	86.52	547	No	No	No	8	7
SVH11_Q11_R.bin.54	0.46	0.46	0.0	True	495012	0	82	82	8098	8098	6036	6036	28516	28516	33.5	2.06	85.85	606	No	No	No	2	1
SVH11_Q11_R.bin.55	0.0	0.0	0.0	True	307445	0	63	63	5427	5427	4880	4880	14760	14760	41.4	1.91	88.31	372	No	No	No	5	2
SVH11_Q11_R.bin.56	89.9	0.16	0.0	True	1370608	0	27	27	71561	71561	50763	50763	187184	187184	28.7	1.34	85.12	1315	Yes	Yes	Yes	38	19
SVH11_Q11_R.bin.57	0.0	0.0	0.0	True	200088	0	9	9	36469	36469	22232	22232	47378	47378	44.7	0.42	89.57	268	No	No	No	0	0
SVH11_Q11_R.bin.58	2.59	0.0	0.0	True	238496	0	13	13	26401	26401	18345	18345	44218	44218	43.2	0.95	86.13	233	Yes	No	No	10	7
SVH11_Q11_R.bin.59	0.31	0.0	0.0	True	207071	0	6	6	69467	69467	34511	34511	75184	75184	31.2	0.98	91.12	205	No	No	No	0	0
SVH11_Q11_R.bin.6	0.0	0.0	0.0	True	267689	0	2	2	134685	134685	133844	133844	134685	134685	35.5	0.54	92.42	241	No	No	No	0	0
SVH11_Q11_R.bin.60	50.69	5.17	100.0	True	561200	0	29	29	37164	37164	19351	19351	86359	86359	45.6	1.23	90.76	551	No	No	No	6	5
SVH11_Q11_R.bin.61	82.17	28.71	90.7	False	1984495	0	482	482	5117	5117	4117	4117	15802	15802	34.8	2.29	91.82	2221	No	No	No	53	19
SVH11_Q11_R.bin.62	0.0	0.0	0.0	True	211619	0	5	5	38519	38519	42323	42323	90029	90029	33.0	1.69	83.71	235	No	No	No	8	6
SVH11_Q11_R.bin.63	31.03	0.0	0.0	True	250912	0	6	6	58198	58198	41818	41818	94116	94116	30.6	1.22	90.77	249	No	No	No	18	13
SVH11_Q11_R.bin.64	17.99	1.86	14.29	True	255814	0	21	21	40169	40169	12181	12181	70293	70293	41.5	1.6	88.17	273	Yes	No	No	6	5
SVH11_Q11_R.bin.65	20.0	2.59	50.0	True	272529	0	77	77	4169	4169	3539	3539	16103	16103	36.9	1.95	88.47	366	Yes	No	No	5	3
SVH11_Q11_R.bin.66	57.24	3.45	0.0	True	1062802	0	234	234	5430	5430	4541	4541	68543	68543	38.9	1.88	89.04	1256	Yes	No	No	14	8
SVH11_Q11_R.bin.67	0.43	0.07	0.0	True	292907	0	101	101	3017	3017	2900	2900	10057	10057	23.3	2.1	83.88	339	No	No	No	0	0
SVH11_Q11_R.bin.68	0.0	0.0	0.0	False	268882	0	99	99	2708	2708	2715	2715	11971	11971	33.9	2.03	91.9	319	No	No	No	5	4
SVH11_Q11_R.bin.69	94.58	113.99	10.71	True	2968344	0	368	368	12608	12608	8066	8066	75194	75194	35.6	2.1	89.66	3164	Yes	No	No	69	18
SVH11_Q11_R.bin.7	0.0	0.0	0.0	True	335182	0	34	34	13041	13041	9858	9858	51756	51756	35.5	1.79	83.04	376	No	No	No	16	12
SVH11_Q11_R.bin.70	0.0	0.0	0.0	True	376201	0	29	29	17252	17252	12972	12972	37634	37634	38.2	1.14	84.51	476	No	No	No	8	6
SVH11_Q11_R.bin.71	0.0	0.0	0.0	True	276997	0	1	1	276997	276997	276997	276997	276997	276997	35.5	0.0	85.58	286	No	No	No	10	9
SVH11_Q11_R.bin.72	0.16	0.0	0.0	True	228071	0	6	6	60377	60377	38011	38011	72917	72917	35.4	0.79	87.17	191	No	No	No	1	1
SVH11_Q11_R.bin.73	25.0	0.0	0.0	True	303491	0	28	28	17168	17168	10838	10838	32350	32350	45.6	0.95	89.89	288	No	No	No	7	6
SVH11_Q11_R.bin.8	0.0	0.0	0.0	True	378941	0	25	25	25727	25727	15157	15157	99640	99640	40.2	0.82	88.14	377	No	No	No	6	5
SVH11_Q11_R.bin.9	34.48	0.0	0.0	True	460645	0	25	25	36360	36360	18425	18425	136011	136011	32.3	1.57	84.67	478	Yes	Yes	No	16	12
